Course/exam,TermCD,SchoolYear,CourseSchoolDBN,Table,CourseTitle,Mark,Mark,NumericEquivalent,Credits,CreditEarned,CreditEarned,Term Average Display,Credits Total,Credit Earned Total,Credits Average,StudentID,Credits Total,Credit Earned Total,Cumulative Term Average1,Credits Average
Exam  ,2,2017,30Q258,MXRKE ,CC GEOMETRY REG JUN,33, ,33,0,0,0,,0,0,0,246600597,55,41.5,62.56451613,31
Course,1,2019,30Q258,ANS21,STUDIO ART I 1 of 2,72, ,72,1,0,1,,,,,,,,,
Course,1,2019,30Q258,EES87X,AP English Language ,65, ,65,1,0,1,,,,,,,,,
Course,1,2019,30Q258,FSS61QA,Heritage Spanish 1,65, ,65,1,0,1,,,,,,,,,
Course,1,2019,30Q258,HUS21X,AP US History,67, ,67,1,0,1,,,,,,,,,
Course,1,2019,30Q258,MQS21,Mathematical Modelin,66, ,66,1,0,1,,,,,,,,,
Course,1,2019,30Q258,PPS85,PHYS ED,78, ,78,0.5,0,0.5,,,,,,,,,
Course,1,2019,30Q258,RQS41T,Technology & Sustain,78, ,78,0.5,0,0.5,,,,,,,,,
Course,1,2019,30Q258,SCS21,CHEMISTRY 1 OF 2,67, ,67,1,0,1,,,,,,,,,
Course,1,2019,30Q258,SCS21QL,CHEMISTRY LAB 1 OF 2,P,*,,0,0,0,68.57142857,7,7,7,,,,,
Course,7,2018,30Q502,HGF41,Global History Term ,75, ,75,1,0,1,,,,,,,,,
Course,7,2018,30Q502,HGF42,Global History Term ,75, ,75,1,0,1,,,,,,,,,
Course,7,2018,30Q502,PHF11QPA,Health,P,*,,1,0,1,75,3,3,2,,,,,
Course,2,2018,30Q258,AUS22,Digital Art 2 of 2,65, ,65,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,EES86,ENGLISH 11 2 OF 2,65, ,65,1,0,1,,,,,,,,,
